,Open,High,Low,Close,Volume
1612460700000,1.1964,1.19647,1.19589,1.19603,804.26
1612461600000,1.19602,1.19636,1.19587,1.19633,1386.8
1612462500000,1.19634,1.19665,1.19619,1.19665,1038.68
1612463400000,1.19665,1.19668,1.19643,1.19645,402.72
1612464300000,1.19644,1.19645,1.19605,1.19629,940.33
1612465200000,1.1963,1.19663,1.19603,1.19607,611.09
1612466100000,1.19605,1.19618,1.19581,1.19594,629.56
1612467000000,1.19595,1.19639,1.19575,1.19636,597.88
1612467900000,1.19638,1.1968,1.19633,1.19659,825.37
1612468800000,1.19659,1.19677,1.19644,1.19645,648.81
1612469700000,1.19647,1.19661,1.19638,1.1965,592.67
1612470600000,1.19652,1.19661,1.19636,1.19654,425.44
1612471500000,1.19655,1.19671,1.19637,1.19658,531.905
1612472400000,1.1966,1.19678,1.19637,1.19654,729.785
1612473300000,1.19653,1.19666,1.19637,1.19638,377.66
1612474200000,1.19639,1.19643,1.19609,1.19621,491.29
1612475100000,1.19619,1.1963,1.19602,1.1962,454.41
1612476000000,1.19618,1.19662,1.19607,1.1965,253.7472
1612476900000,1.19651,1.19665,1.19626,1.19632,68.77
1612477800000,1.19633,1.19634,1.19587,1.19634,320.98
1612478700000,1.19635,1.19647,1.19629,1.19647,153.98
1612479600000,1.19645,1.19671,1.19627,1.19664,2429.38
1612480500000,1.19663,1.19682,1.1966,1.19668,507.51
1612481400000,1.19667,1.19688,1.19663,1.19679,533.91
1612482300000,1.19678,1.19678,1.19643,1.19662,401.69
1612483200000,1.19659,1.1967,1.19631,1.19641,689.9
1612484100000,1.19641,1.19681,1.19634,1.19671,763.45
1612485000000,1.19668,1.19718,1.19667,1.19683,665.35
1612485900000,1.19684,1.19696,1.19667,1.19688,769.39
1612486800000,1.19686,1.19689,1.19621,1.19649,867.97
1612487700000,1.19649,1.19673,1.19639,1.19671,986.28
1612488600000,1.19673,1.19692,1.19661,1.19687,1138.16
1612489500000,1.19685,1.19685,1.19644,1.19658,889.85
1612490400000,1.19659,1.1968,1.19635,1.19648,685.45
1612491300000,1.19648,1.19662,1.19621,1.19627,668.09
1612492200000,1.19625,1.19631,1.19555,1.1956,1209.13
1612493100000,1.1956,1.19571,1.19534,1.19541,906.32
1612494000000,1.19541,1.19556,1.19522,1.19546,1021.96
1612494900000,1.19547,1.19563,1.19537,1.19563,386.3
1612495800000,1.19562,1.19573,1.19542,1.1955,534.95
1612496700000,1.19549,1.19568,1.19545,1.19545,547.15
1612497600000,1.19544,1.19569,1.19544,1.19568,492.07
1612498500000,1.19568,1.19571,1.19555,1.19563,500.32
1612499400000,1.19563,1.19563,1.19536,1.19548,470.62
1612500300000,1.19548,1.19563,1.19546,1.1956,183.3
1612501200000,1.19561,1.19567,1.19552,1.19565,381.45
1612502100000,1.19564,1.19571,1.19553,1.1957,545.16
1612503000000,1.19572,1.19617,1.1957,1.19598,746.89
1612503900000,1.19598,1.19631,1.19592,1.19628,558.25
1612504800000,1.1963,1.19637,1.19594,1.19598,443.05
1612505700000,1.196,1.19637,1.19598,1.19635,565.28
1612506600000,1.19635,1.19654,1.19632,1.19645,426.74
1612507500000,1.19644,1.19662,1.19625,1.19654,558.85
1612508400000,1.19653,1.19667,1.19638,1.19654,1063.39
1612509300000,1.19653,1.19654,1.1961,1.19612,809.61
1612510200000,1.19611,1.19653,1.19595,1.19629,1016.86
1612511100000,1.19628,1.19655,1.19618,1.19632,764.12
1612512000000,1.19634,1.19827,1.19634,1.1982,3124.38
1612512900000,1.19819,1.19821,1.19752,1.19762,3224.1
1612513800000,1.19761,1.1981,1.19754,1.19787,3212.91
1612514700000,1.1979,1.19874,1.19753,1.19842,3300.23
1612515600000,1.19842,1.19878,1.19828,1.19839,2008.62
1612516500000,1.19839,1.19841,1.19792,1.198,1610.02
1612517400000,1.19801,1.19827,1.19778,1.19783,1237.83
1612518300000,1.19783,1.19805,1.19763,1.19767,1680.29
1612519200000,1.19766,1.19828,1.19764,1.19797,1425.47
1612520100000,1.198,1.19813,1.1975,1.19752,1216.26
1612521000000,1.19752,1.19794,1.19741,1.19777,1376.71
1612521900000,1.19778,1.19778,1.19737,1.19737,1360.68
1612522800000,1.19737,1.19745,1.19686,1.19721,1649.15
1612523700000,1.19722,1.19778,1.19721,1.19748,1294.89
1612524600000,1.19748,1.19788,1.19723,1.1978,1075.38
1612525500000,1.1978,1.19815,1.19775,1.19798,1008.23
1612526400000,1.19798,1.19831,1.19772,1.19791,1258.85
1612527300000,1.1979,1.19894,1.1979,1.19891,1556.86
1612528200000,1.19894,1.1993,1.19856,1.19865,1276.15
1612529100000,1.19865,1.19923,1.19856,1.19894,1756.24
1612530000000,1.19894,1.19895,1.1981,1.19821,2188.21
1612530900000,1.19822,1.19855,1.19817,1.1984,1891.19
1612531800000,1.19843,1.20052,1.1984,1.20011,6605.4801
1612532700000,1.2001,1.20238,1.20009,1.20039,5812.9
1612533600000,1.20038,1.20143,1.20006,1.2005,4117.94
1612534500000,1.20048,1.20185,1.20023,1.2016,3550.17
1612535400000,1.20159,1.20199,1.2012,1.20175,3959.63
1612536300000,1.20173,1.20224,1.2016,1.20213,2544.61
1612537200000,1.20212,1.20338,1.20178,1.20247,2539.89
1612538100000,1.20246,1.20256,1.20197,1.20202,1355.89
1612539000000,1.20201,1.20302,1.20192,1.20223,1651.76
1612539900000,1.20222,1.20275,1.20182,1.20237,2733.76
1612540800000,1.20239,1.20319,1.20239,1.20306,2007.78
1612541700000,1.20307,1.2031,1.20247,1.20256,1194.8
1612542600000,1.20256,1.20379,1.20247,1.20374,1639.55
1612543500000,1.20373,1.20401,1.20337,1.20347,1652.25
1612544400000,1.20346,1.20401,1.20334,1.20392,1446.66
1612545300000,1.20392,1.20417,1.20376,1.20398,860.26
1612546200000,1.20399,1.20403,1.20334,1.2035,1155.76
1612547100000,1.2035,1.20386,1.20344,1.20378,1060.5
